code,lon,lat
130631,115.161588,38.700158
130632,115.942426,38.941734
130633,115.503607,39.355054
130634,114.751455,38.628384
130635,115.590445,38.494201
130636,115.141597,38.843261
130637,115.470467,38.463408
130638,116.114601,39.00018
130681,115.98162,39.491066
130682,114.996496,38.522199
130683,115.333408,38.424828
130684,115.880569,39.332335
130702,114.513471,37.07375
130703,114.46742,38.010381
130705,115.105444,40.614592
130706,115.293517,40.508145
130708,114.747426,40.77315
130709,115.289549,40.980478
130722,114.726375,41.164944
130723,114.606356,41.858637
130724,115.695407,41.676016
130725,113.975524,41.081888
130726,114.595401,39.847089
130727,114.157524,40.109588
130728,114.392469,40.680369
130730,115.524553,40.42029
130731,115.211383,40.385834
130732,115.838506,40.918761
130802,117.949428,40.980824
130803,117.806578,40.964729
130804,117.665609,40.552043
130821,118.180456,40.774367
130822,117.507427,40.423454
130824,117.339498,40.947561
130825,117.745451,41.319899
130826,116.652393,41.215336
130827,118.491594,40.617152
130828,117.766564,41.944324
130902,114.469438,38.05712
130903,116.838612,38.316523
130921,116.884398,38.299453
130922,116.810575,38.588465
130923,116.54341,37.894514
130924,117.504418,38.149402
130925,117.237414,38.064318
130926,115.836518,38.428906
130927,116.715601,38.045188
130928,116.397392,37.633909
130929,116.12956,38.195981
130930,117.110436,38.059839
130981,116.584628,38.089257
130982,116.105605,38.717349
130983,117.336481,38.377494
130984,116.105628,38.451357
131002,116.709633,39.52616
131003,116.717614,39.528611
131022,116.30542,39.444485
131023,116.505429,39.327853
131024,117.012402,39.767939
131025,116.660409,38.710859
131026,116.464609,38.87895
131028,116.996409,39.892208
131081,116.398397,39.130921
131082,117.084588,39.9881
131102,115.681395,37.741637
131103,115.58543,37.557086
131121,115.730563,37.519364
131122,115.894514,37.807764
131123,115.989614,38.046857
131124,115.732572,38.241038
131125,115.525549,38.240507
131126,115.972602,37.353348
131127,116.277411,37.698815
131128,116.182422,37.868732
131182,115.566369,38.006941
140105,112.572396,37.742323
140106,112.569385,37.869532
140107,112.576383,37.900186
140108,112.493605,37.945943
140109,112.522577,37.864974
140110,112.484564,37.721169
140121,112.364558,37.613067
140122,112.679409,38.064621
140123,111.803591,38.073195
140181,112.182453,37.913
140212,113.146444,40.261971
140221,113.755414,40.367392
140222,114.097478,40.426412
140223,114.288586,39.766004
140224,114.241368,39.448825
140225,113.7056,39.698953
140226,112.709463,40.019623
140302,116.422401,39.934827
140303,114.068632,38.070566
140311,113.162402,39.996839
140321,113.664421,37.792796
140322,113.41842,38.09198
140423,113.057413,36.541686
140425,113.442517,36.205989
140426,113.393432,36.50867
140427,113.21358,36.121335
140428,112.884566,36.128002
140429,112.870606,36.843168
140430,112.705458,36.76219
140431,112.344452,36.506103
140502,116.422401,39.934827
140521,112.193426,35.696364
140522,112.421454,35.492181
140524,113.287407,35.781744
140525,112.794401,35.59977
140581,112.930412,35.804337
140602,112.438376,39.325303
140603,112.295525,39.517389
140621,112.822432,39.53403
140622,113.197494,39.560078
140623,112.4735,39.99486
140702,112.714504,37.70394
140721,112.981599,37.07637
140722,113.385452,37.088555
140723,113.576606,37.334808
140724,113.713613,37.617884
140725,113.18341,37.901308
140727,112.342442,37.364131
140728,112.182456,37.195601
140729,111.785618,36.853368
140781,111.923563,37.032686
140802,111.004377,35.021425
140821,110.780407,35.149542
140822,110.844576,35.421109
140823,111.23141,35.362931
140824,110.989415,35.610403
140825,111.231406,35.62263
140826,111.231406,35.62263
140827,111.676607,35.303015
140828,111.226431,35.147462
140829,111.22348,34.842925
140830,110.700612,34.699388
140881,110.454578,34.87283
140882,110.718572,35.601927
140902,112.752614,38.40988
140921,112.963529,38.479974
140922,113.261451,38.734182
140923,112.966552,39.072728
140924,113.271408,39.195237
140925,112.326398,39.024342
140926,111.945432,38.365147
140927,112.217383,39.096876
140928,111.85341,38.91702
140929,111.579478,38.710151
140930,111.144449,39.390702
140931,111.092542,39.028337
140932,111.514474,39.44223
140981,112.717487,38.736476
141002,111.58643,36.084562
141021,111.482396,35.647327
141022,111.725376,35.744429
141023,111.44854,35.882063
141024,111.681589,36.259467
141025,111.926573,36.272338
141026,112.256613,36.153514
141027,111.855385,35.974393
141028,110.688546,36.103999
141029,110.853498,35.976442
141030,110.759384,36.471306
141031,110.947591,36.699061
141032,110.638416,36.765909
141033,111.102474,36.418005
141034,111.569546,36.658782
141081,111.378397,35.625365
141082,111.761509,36.574607
141102,111.157491,37.523577
141121,112.035599,37.4443
141122,112.162568,37.557772
141123,115.81441,39.269424
141124,110.998415,37.957211
141125,110.89539,37.435493
141126,110.841596,37.004471
141127,111.579478,38.710151
141128,111.25037,37.90102
141129,111.18563,37.362873
141130,111.187628,36.987873
141181,111.785606,37.151063
141182,111.794597,37.271292
150102,111.67162,40.863877
150103,111.63047,40.814506
150104,111.681575,40.758059
150105,111.708421,40.798394
150121,111.169587,40.735294
150122,111.200575,40.283147
150123,111.82843,40.384798
150124,111.653576,39.926334
150125,111.457497,41.102419
150202,110.050395,40.582228
150203,109.845538,40.647644
150204,109.907416,40.649473
150205,110.278381,40.678299
150206,109.979626,41.774995
150207,109.969588,40.613397
150221,110.530389,40.575127
150222,110.066433,41.040163
150223,110.439521,41.704549
150302,106.829439,39.696908
150303,106.898471,39.446828
150304,106.732606,39.511469
150402,118.963564,42.270478
150403,119.295405,42.045125
150404,118.939414,42.292482
150421,120.072614,43.877953
150422,119.386443,43.976383
150423,118.670394,43.540132
150424,118.062461,43.62421
150425,117.55162,43.270758
150426,119.012509,42.942019
150428,118.710474,41.932214
150429,119.350609,41.600245
150430,119.927578,42.296507
150502,122.262457,43.628712
150521,123.318589,44.132294
150522,122.363563,42.939562
150523,121.325386,43.606369
150524,121.817406,42.741211
150525,120.664646,42.871846
150526,120.918626,44.562213
150581,119.670466,45.537513
150602,109.96956,39.827987
150603,109.869627,39.616378
150621,110.040366,40.418907
150622,111.246398,39.87054
150623,107.484585,38.188217
150624,107.982445,39.095293
150625,108.742413,39.838816
150626,108.824435,38.610027
150627,109.75459,39.570093
150702,119.742465,49.218216
150703,117.385436,49.604099
150721,123.46544,48.131971
150722,124.525576,48.482896
150723,123.732345,50.597948
150724,119.761351,49.153045
150725,119.430462,49.334914
150726,118.276608,48.223787
150727,116.830632,48.677054
150781,117.385436,49.604099
150782,120.718347,49.292024
150783,122.744454,48.019956
150784,120.186634,50.248132
150785,121.527585,50.78614
150802,107.369534,40.756681
150821,108.273491,41.094455
150822,107.014522,40.33647
150823,108.658615,40.742104
150824,108.519512,41.593346
150825,107.081546,41.089422
150826,107.157372,40.892179
150902,113.120587,41.041146
150921,112.58441,40.900292
150922,114.016409,41.909603
150923,113.584639,41.567567
150924,113.840579,40.879342
150925,112.5106,40.537163
150926,113.221605,40.791267
150927,112.64258,41.283273
150928,113.198531,41.441771
150929,111.712419,41.539353
150981,113.116601,40.441805
152201,122.099622,46.078654
152202,119.950653,47.183054
152221,121.964553,46.082649
152222,121.483548,45.066471
152223,122.906444,46.72919
152224,121.600545,45.38783
152501,111.958363,43.6488
152502,116.093614,43.938334
152522,114.957367,44.028102
